10,B2 Warehouse A
22,B2 SMT Kitting Room
31,B2 SMT Class A Room
51,B1 SMM Warehouse
52,B1 SMM Cabinet
11,B2 Warehouse B
12,B2 Warehouse C
13,B2 IQA Room
21,B2 PCBA Preform Room
